"","track","artist","genre","mode","popularity","tempo","energy","danceability","loudness","speechiness","acousticness","liveness","instrumentalness","valence","duration"
"528","Ayo","Tyga","Hip Hop",1,73,98.031,0.563,0.823,-5.095,0.0443,0.0399,0.0851,0,0.682,225227
"529","Me, Myself & I","G-Eazy","Hip Hop",0,76,111.996,0.672,0.757,-6.524,0.0955,0.0186,0.158,0,0.382,251467
"530","She","Harry Styles","Pop",1,76,140.026,0.521,0.535,-5.942,0.0272,0.000532,0.19,0.371,0.457,362653
"531","Love Is Gone","SLANDER","Electronic Dance",0,61,149.586,0.465,0.452,-10.006,0.0344,0.0589,0.095,0.000524,0.0832,256043
"532","Hey Julie! (feat. Lil Yachty)","Lil Yachty","Hip Hop",1,72,161.042,0.499,0.803,-5.932,0.306,0.0363,0.129,3.46e-06,0.749,156637
"533","No Sleep (feat. Bonn)","Martin Garrix","Electronic Dance",1,74,128.133,0.635,0.44,-6.385,0.0326,0.129,0.121,0,0.327,207095
"534","Church Bells","Carrie Underwood","Country",0,67,87.007,0.844,0.575,-1.772,0.0633,0.226,0.0538,0,0.542,193333
"535","MAMACITA","Tyga","Hip Hop",0,72,101.046,0.733,0.786,-4.961,0.127,0.0257,0.143,0,0.358,202653
"536","GUD VIBRATIONS","SLANDER","Electronic Dance",1,63,151.994,0.924,0.514,-5.417,0.052,0.000208,0.0684,0.805,0.0675,224211
"537","I Fall Apart","Post Malone","Pop",0,84,143.95,0.538,0.556,-5.408,0.0382,0.0689,0.196,0,0.291,223347
"538","Emotionally Scarred","Lil Baby","Hip Hop",0,77,88.284,0.641,0.585,-4.269,0.133,0.0286,0.316,0,0.266,197530
"539","Blessings","Big Sean","Hip Hop",1,66,118.896,0.621,0.79,-7.634,0.275,0.33,0.122,0,0.15,252040
"540","Jerry Sprunger (with T-Pain)","Tory Lanez","Hip Hop",0,77,100.011,0.746,0.76,-5.331,0.227,0.137,0.0905,0,0.449,233546
"541","Lost My Mind","Alison Wonderland","Electronic Dance",0,55,160.018,0.665,0.603,-5.372,0.0655,0.016,0.138,0.652,0.184,261441
"542","Baby (Lil Baby feat. DaBaby)","Lil Baby","Hip Hop",1,78,108.003,0.463,0.97,-7.259,0.366,0.0957,0.151,0,0.46,142417
"543","Gucci Flip Flops (feat. Lil Yachty)","Lil Yachty","Hip Hop",1,68,159.976,0.603,0.82,-7.18,0.308,0.0351,0.122,0.0159,0.177,151851
"544","Love Is Mystical","Cold War Kids","Alternative/Reggae",0,60,106.03,0.863,0.567,-5.158,0.037,0.00462,0.207,4.77e-05,0.722,214360
"545","Small Town Boy","Dustin Lynch","Country",1,73,72.997,0.743,0.554,-6.016,0.0287,0.0251,0.359,0,0.673,205733
"546","Notice","Thomas Rhett","Country",0,66,119.932,0.704,0.346,-6.309,0.0376,0.00246,0.084,0,0.258,222853
"547","What If I Told You That I Love You","Ali Gatie","Pop",1,83,84.628,0.365,0.605,-11.144,0.111,0.63,0.0554,6.83e-06,0.224,193668
"548","Wrong Way","Sublime","Alternative/Reggae",1,65,75.034,0.681,0.69,-5.653,0.0379,0.0623,0.137,0,0.911,136147
"549","Falling (blackbear Remix)","blackbear","Pop",1,75,127.01,0.485,0.803,-6.491,0.0365,0.121,0.092,0,0.422,171968
"550","Already Gold","Iration","Alternative/Reggae",1,51,78.002,0.696,0.728,-6.084,0.0632,0.0471,0.0233,1.81e-05,0.674,261080
"551","BUTTERFLY EFFECT","Travis Scott","Hip Hop",1,81,140.958,0.628,0.763,-5.85,0.05,0.0531,0.114,0,0.193,190557
"552","Some Kind Of Drug","G-Eazy","Hip Hop",1,68,126.51,0.525,0.586,-8.968,0.498,0.0705,0.0729,0,0.491,222467
"553","Meant to Be (feat. Florida Georgia Line)","Florida Georgia Line","Country",1,70,153.995,0.772,0.642,-6.61,0.0848,0.0476,0.0646,0,0.589,164205
"554","66","Lil Yachty","Hip Hop",0,65,148.057,0.723,0.667,-4.31,0.27,0.0455,0.213,0.000179,0.251,153475
"555","Social Cues","Cage The Elephant","Alternative/Reggae",1,68,132.039,0.913,0.668,-3.097,0.0348,0.0119,0.111,6.59e-06,0.933,219053
"556","High On Life (feat. Bonn)","Martin Garrix","Electronic Dance",0,76,128.038,0.486,0.414,-6.431,0.0311,0.0129,0.111,0,0.368,230762
"557","Adore You","Harry Styles","Pop",1,87,99.048,0.771,0.676,-3.675,0.0483,0.0237,0.102,7e-06,0.569,207133
"558","Higher Love","Kygo","Electronic Dance",1,85,103.952,0.678,0.693,-7.159,0.0324,0.0154,0.101,6.05e-06,0.404,228267
"559","So High (feat. Ghost Loft)","Wiz Khalifa","Hip Hop",0,68,157.99,0.629,0.628,-4.829,0.0485,0.118,0.102,0,0.3,249288
"560","Do You Remember","Jack Johnson","Alternative/Reggae",1,61,92.035,0.289,0.598,-11.405,0.0334,0.762,0.262,8.17e-05,0.714,144013
"561","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix","Electronic Dance",0,81,113.778,0.723,0.661,-6.976,0.0566,0.179,0.14,1.23e-05,0.316,163805
"562","Woman Like Me (feat. Nicki Minaj)","Nicki Minaj","Hip Hop",0,76,75.002,0.854,0.754,-3.449,0.0608,0.177,0.0808,0,0.8,229720
"563","I'm a Mess","Bebe Rexha","Pop",0,79,97.005,0.694,0.63,-6.257,0.0253,0.00281,0.0719,0,0.216,195519
"564","SICKO MODE","Travis Scott","Hip Hop",1,86,155.008,0.73,0.834,-3.714,0.222,0.00513,0.124,0,0.446,312820
"565","Known You Before (with Emilie Brandt)","Seven Lions","Electronic Dance",0,56,128.174,0.671,0.412,-6.545,0.0563,0.0137,0.192,3.35e-06,0.112,219401
"566","Strength From Inside","Above & Beyond","Electronic Dance",1,60,91.047,0.189,0.171,-22.379,0.037,0.857,0.169,0.959,0.0572,200787
"567","Call You Mine","The Chainsmokers","Electronic Dance",0,84,104.01,0.696,0.585,-5.6,0.0307,0.204,0.344,0,0.522,217640
"568","Imagine","Jack Johnson","Alternative/Reggae",1,63,141.946,0.179,0.554,-18.254,0.0362,0.937,0.107,0.024,0.374,219080
"569","Used to You","Ali Gatie","Pop",1,67,131.988,0.537,0.505,-5.532,0.0278,0.137,0.145,0,0.194,134402
"570","Love Triangle","RaeLynn","Country",1,57,132.927,0.525,0.686,-6.721,0.0331,0.135,0.11,0,0.322,225627
